channel_name,channel_handle,date,youtube_views,youtube_rsi,live_stream_count,fear_greed_value,fear_greed_classification,btc_price_close,btc_price_high,btc_price_low,btc_volume
Micha.Stocks,@Micha.Stocks,2025-05-23,19368,,1,78,Extreme Greed,107332.91,111810.26,106807.62,2775108378
,,2025-05-24,,,,66,Greed,107779.46,109512.56,106896.28,972112098
,,2025-05-25,,,,74,Greed,109041.44,109349.07,106643.02,1080850082
,,2025-05-26,,,,73,Greed,109461.24,110459.23,108718.82,1568531304
Micha.Stocks,@Micha.Stocks,2025-05-27,13026,,1,74,Greed,108975.95,110802.20,107543.83,2520257081
Micha.Stocks,@Micha.Stocks,2025-05-28,18587,,1,71,Greed,107821.11,109328.61,106799.94,2010518282
Micha.Stocks,@Micha.Stocks,2025-05-29,17918,,2,74,Greed,105586.78,108929.95,105327.79,2610280802
Micha.Stocks,@Micha.Stocks,2025-05-30,18294,,1,60,Greed,104039.27,106348.19,103650.43,2473658025
,,2025-05-31,,,,50,Neutral,104654.65,104959.61,103127.75,890138427
,,2025-06-01,,,,56,Greed,105702.19,105924.77,103823.88,788781340
Micha.Stocks,@Micha.Stocks,2025-06-02,11350,,1,64,Greed,105908.79,105988.22,103708.71,1589665626
Micha.Stocks,@Micha.Stocks,2025-06-03,12249,,1,64,Greed,105447.66,106888.12,104926.88,1652394373
Micha.Stocks,@Micha.Stocks,2025-06-04,12279,,1,62,Greed,104746.00,106044.55,104206.69,1327155926
Micha.Stocks,@Micha.Stocks,2025-06-05,27860,,2,57,Greed,101580.61,105975.11,100418.61,2835254364
,,2025-06-06,,,,45,Fear,104392.54,105426.24,101174.97,2391698461
